grid_wind_mps,grid_rotor_speed_rpm,actual_wind_mps,actual_rotor_speed_rpm,wind_error_mps,rotor_speed_error_rpm,lin_time_s,lin_file,GTomega,GTbeta,GTu,GFomega,GFbeta,GFu
21,7.5,21.0,7.49857330322,0.0,-0.0014266967800002917,2.042,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_7.5rpm.lin,6307.32394628,18626.6841312,204696.334283,131.333791253,1582.1400497,7456.28474406
21,8.0,21.0,7.9964299202,0.0,-0.0035700798000002365,1.885,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_8rpm.lin,7063.74619823,101741.772875,392934.455901,232.665233544,7023.74211746,17451.4887178
21,8.5,21.0,8.50206279755,0.0,0.0020627975499998286,1.733,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_8.5rpm.lin,5344.90124213,76347.3394264,603654.009005,233.824938002,8042.88028263,26457.3333425
21,9.0,21.0,8.99653339386,0.0,-0.0034666061399999393,1.461,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_9rpm.lin,4985.04099757,72746.3976255,461911.412462,189.313215996,6736.56110647,21549.9274461
21,9.5,21.0,9.49524497986,0.0,-0.004755020139999289,1.148,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_9.5rpm.lin,4782.18900069,-34642.6038674,308953.167079,88.9923504714,-1808.53959354,13162.8100966
21,10.0,21.0,9.98907375336,0.0,-0.010926246640000414,0.973,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_10rpm.lin,5677.17863678,-1328.37305808,286385.791924,177.300674252,-1533.92231653,12357.5358205
21,10.5,21.0,10.5002260208,0.0,0.00022602079999956004,0.873,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_10.5rpm.lin,5790.19131569,46468.48788,309855.575607,233.608231534,2755.52337221,16639.7239041
21,11.0,21.0,11.0072956085,0.0,0.007295608499999773,0.742,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_11rpm.lin,5839.48655295,97856.9796255,444987.671588,320.284868096,10515.9024256,26557.9366741
21,11.5,21.0,11.4839715958,0.0,-0.016028404200000068,0.499,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_11.5rpm.lin,3732.13197156,17146.0434141,684125.931331,252.475139132,8901.31777057,42602.3216193
21,12.0,21.0,11.9978046417,0.0,-0.002195358299999839,0.339,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\override_lin\21mps_12rpm.lin,4322.01253623,62775.6573218,827000.119519,273.866078727,10021.3401741,46366.1619477
22,1.0,22.0,0.999821960926,0.0,-0.00017803907400004704,9.97,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_1rpm.lin,5979.61779994,89979.5728278,-240359.376044,-38.150762177,-2057.78405818,1236.33549231
22,1.5,22.0,1.50042116642,0.0,0.0004211664200000076,9.481,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_1.5rpm.lin,5119.90578952,91473.9690597,-321497.361807,-6.73968635438,-2121.68237491,702.502769269
22,2.0,22.0,1.99958741665,0.0,-0.00041258334999993984,8.927,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_2rpm.lin,5518.05004943,94800.4055333,-269737.786989,-5.12227377022,-2277.35453702,1144.74057916
22,2.5,22.0,2.49985265732,0.0,-0.00014734268000005102,8.468,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_2.5rpm.lin,4920.86581737,87013.5953308,-251671.711511,16.1110900027,-1866.18460694,913.207438899
22,3.0,22.0,2.99954128265,0.0,-0.0004587173499999153,7.867,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_3rpm.lin,5296.51695563,97735.2243025,-229748.913875,69.4995568658,-658.093396821,242.143210757
22,3.5,22.0,3.49997138977,0.0,-2.8610229999781467e-05,7.107,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_3.5rpm.lin,143801.986476,113201.188161,-202297.073516,-2294.90119818,640.758502153,-480.971211616
22,4.0,22.0,3.99968528748,0.0,-0.00031471251999981575,6.533,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_4rpm.lin,212275.518828,111487.040785,-199332.016926,-5864.37821551,1212.11965532,-1237.70633859
22,4.5,22.0,4.49964284897,0.0,-0.0003571510300002245,5.886,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_4.5rpm.lin,151793.445912,233786.283683,-213018.546257,-9207.0644243,4996.17928161,-2741.69257436
22,5.0,22.0,4.9998292923,0.0,-0.00017070769999971702,5.322,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_5rpm.lin,154288.241884,249727.322756,-191998.157148,-8478.18086367,6022.99280319,-3518.87848982
22,5.5,22.0,5.49944496155,0.0,-0.0005550384499999339,4.835,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_5.5rpm.lin,-54598.2968358,285951.984528,-162569.612396,-9250.80076351,7698.80386667,-3608.40314531
22,6.0,22.0,6.00022506714,0.0,0.00022506713999970174,4.167,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_6rpm.lin,-124506.652612,234646.884612,-71870.3934267,-6254.43820135,7761.62061673,-2156.4251391
22,6.5,22.0,6.5004119873,0.0,0.0004119872999996943,3.538,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_6.5rpm.lin,-6404.82412505,93564.8132425,27723.9953119,-194.699059937,3388.31935276,2065.44570796
22,7.0,22.0,7.00023317337,0.0,0.0002331733699998395,3.05,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_7rpm.lin,6786.86934728,52109.1076672,171822.880787,133.607948601,2629.95493772,6685.36555447
22,7.5,22.0,7.4991850853,0.0,-0.0008149147000002799,2.784,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_7.5rpm.lin,6798.7879278,60606.6686734,228395.301084,184.11884401,3493.35010721,8830.93582909
22,8.0,22.0,7.9999756813,0.0,-2.431870000041414e-05,2.523,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_8rpm.lin,6440.16425301,86322.6408562,360082.488322,200.021095993,5849.91781563,14982.1749078
22,8.5,22.0,8.49973011017,0.0,-0.00026988982999931466,2.287,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_8.5rpm.lin,5480.09889751,95519.4434942,451039.538299,219.510730046,8123.24305336,19503.8414449
22,9.0,22.0,9.00087833405,0.0,0.0008783340500002623,2.104,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_9rpm.lin,5384.82070989,81858.5355957,537563.327337,196.673445478,8757.77806695,23969.3312607
22,9.5,22.0,9.49971008301,0.0,-0.00028991699000080473,1.882,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_9.5rpm.lin,4587.47745008,68950.4376444,604663.847119,196.066974934,9926.83119829,28095.5226322
22,10.0,22.0,10.0000686646,0.0,6.86646000005453e-05,1.636,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_10rpm.lin,3633.94611209,51321.2538274,617619.855261,174.599276491,10394.6621077,31024.7693598
22,10.5,22.0,10.4991083145,0.0,-0.0008916854999991841,1.466,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_10.5rpm.lin,3730.98364447,31274.5306614,652319.611729,192.490592829,10597.2157715,34099.7174642
22,11.0,22.0,10.9994020462,0.0,-0.0005979537999998286,1.276,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_11rpm.lin,3565.31209328,23597.871634,699953.890422,190.471333979,10916.456046,39477.6873311
22,11.5,22.0,11.4989900589,0.0,-0.0010099410999995229,0.978,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_11.5rpm.lin,3292.93438875,37126.0703205,737471.883044,166.186225833,9519.81539422,44138.9004249
22,12.0,22.0,12.0004959106,0.0,0.0004959105999997604,0.829,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\22mps_12rpm.lin,3784.52468915,43037.213591,728361.854101,210.087765691,9918.10718749,44696.3033112
23,1.0,23.0,1.0000756979,0.0,7.569790000006016e-05,10.157,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_1rpm.lin,5318.39640036,79708.6723662,-257719.997236,-43.1315692101,-2241.87982554,1250.22580213
23,1.5,23.0,1.50009632111,0.0,9.632111000001942e-05,9.458,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_1.5rpm.lin,5968.50189906,102148.866808,-322689.830218,-3.22450161666,-2119.26365322,783.144900347
23,2.0,23.0,2.00016999245,0.0,0.00016999245000004493,8.842,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_2rpm.lin,5725.08144623,100919.782992,-274801.301503,0.222429236714,-2315.95896737,1172.07357554
23,2.5,23.0,2.49998760223,0.0,-1.2397769999950015e-05,8.39,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_2.5rpm.lin,4352.4018641,79099.1142726,-264369.888646,-3.74572966521,-2403.03509742,1179.15161861
23,3.0,23.0,2.99962544441,0.0,-0.00037455559000010297,7.652,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_3rpm.lin,5501.15408334,102237.176192,-236738.998976,71.4140191479,-785.165081341,194.352431776
23,3.5,23.0,3.50027823448,0.0,0.00027823448000008355,6.729,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_3.5rpm.lin,92277.8545418,117310.809437,-223711.371109,-2657.27828226,717.010625431,-933.490368659
23,4.0,23.0,4.00029420853,0.0,0.0002942085299997288,5.922,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_4rpm.lin,202088.892009,270724.132225,-202497.608744,-4063.33458529,4854.35906961,-1969.54242076
23,4.5,23.0,4.49987459183,0.0,-0.00012540816999973003,5.599,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_4.5rpm.lin,137097.241329,279267.370263,-251370.908669,-8000.39888771,5280.76759258,-3596.14945809
23,5.0,23.0,5.00035429001,0.0,0.0003542900099997581,4.87,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_5rpm.lin,62757.8815255,309131.096881,-137037.18065,-9440.00830386,6522.4474254,-2542.33235716
23,5.5,23.0,5.50037527084,0.0,0.00037527084000021915,4.426,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_5.5rpm.lin,-182912.504299,216522.934832,-137531.356749,-11667.4000575,5273.69340047,-2762.7308684
23,6.0,23.0,6.00028562546,0.0,0.00028562546000010514,3.645,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_6rpm.lin,-180130.46227,110902.009548,37865.3482857,-4262.35767893,3666.25164745,1593.65077353
23,6.5,23.0,6.50010204315,0.0,0.00010204315000006403,3.27,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_6.5rpm.lin,-23683.5006786,89504.6490666,153509.71726,551.555314816,3647.00603294,6196.78474714
23,7.0,23.0,7.00067567825,0.0,0.0006756782500003666,2.86,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_7rpm.lin,7294.16272502,66487.1651645,195450.227864,164.874792404,3568.01531729,7043.24036479
23,7.5,23.0,7.49972200394,0.0,-0.0002779960600003406,2.614,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_7.5rpm.lin,8409.0168357,75028.1922486,303638.98353,210.161197698,4679.33688481,11312.2235618
23,8.0,23.0,8.00022411346,0.0,0.00022411345999984178,2.355,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_8rpm.lin,5261.96118366,89881.4247362,413331.753407,183.067409975,6941.71238063,16605.0331001
23,8.5,23.0,8.50026702881,0.0,0.0002670288100006246,2.181,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_8.5rpm.lin,5877.90774257,101577.490528,507210.88814,199.425305441,8795.18600295,20484.1364225
23,9.0,23.0,8.99970149994,0.0,-0.0002985000599995402,1.974,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_9rpm.lin,5325.51901547,82503.8305452,600567.198884,198.896141419,10000.9822274,25611.437254
23,9.5,23.0,9.50090789795,0.0,0.000907897950000347,1.711,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_9.5rpm.lin,4367.94948225,77890.3741665,614640.474727,167.938023526,10288.3890251,27352.24418
23,10.0,23.0,9.99906730652,0.0,-0.000932693479999358,1.519,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_10rpm.lin,4393.5389903,55341.1793774,572442.133115,163.693565041,9243.98514533,26674.7663496
23,10.5,23.0,10.499007225,0.0,-0.0009927750000002789,1.363,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_10.5rpm.lin,3625.58230973,50970.1525619,591356.902327,176.301668204,10731.310329,29800.2958843
23,11.0,23.0,10.9992380142,0.0,-0.0007619858000005308,1.061,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_11rpm.lin,3365.56901248,20007.6398042,723989.469927,178.078821516,11009.2820331,39740.6660066
