0.3					
0	0	1.444569817	3.870028822	-0.162171672	0
0	0	-0.213813757	-0.162171672	0.432068716	0
-1.444569817	0.213813757	0	0	0	4.302097538
					
0.5666666					
1606008.589	109095.4903	0	0	0	171697.0138
109095.4903	7517913.141	0	0	0	803979.975
0	0	137980452.3	10388180.97	-12029903.74	0
0	0	10388180.97	38868045.49	-1044432.908	0
0	0	-12029903.74	-1044432.908	14766476.8	0
171697.0138	803979.975	0	0	0	1767489.489
					
4.111943078	0	0	0	0	-1.399913757
0	4.111943078	0	0	0	0.306616248
0	0	4.111943078	1.399913757	-0.306616248	0
0	0	1.399913757	3.471886666	-0.129430462	0
0	0	-0.306616248	-0.129430462	0.284365837	0
-1.399913757	0.306616248	0	0	0	3.756252503
					
0.601626					
1527645.639	127547.1655	0	0	0	137825.346
127547.1655	7875816.537	0	0	0	739515.8576
0	0	137207310.9	10208234.03	-9580360	0
0	0	10208234.03	32941957.99	-1152063.582	0
0	0	-9580360.001	-1152063.582	13302450.78	0
137825.346	739515.8576	0	0	0	1631341.852
					
3.906510955	0	0	0	0	-1.166166858
0	3.906510955	0	0	0	0.26887337
0	0	3.906510955	1.166166858	-0.26887337	0
0	0	1.166166858	2.856689161	-0.114906373	0
0	0	-0.26887337	-0.114906373	0.252689407	0
-1.166166858	0.26887337	0	0	0	3.109378568
					
0.63333333					
1474337.445	113774.1431	0	0	0	146469.8401
113774.1431	7675786.018	0	0	0	656433.7441
0	0	133457904.8	8042215.113	-7053176.989	0
0	0	8042215.113	31072914.73	-971817.0736	0
0	0	-7053176.989	-971817.0735	11834234.09	0
146469.8401	656433.7441	0	0	0	1492508.378
					
3.823799996	0	0	0	0	-1.160718594
0	3.823799996	0	0	0	0.234188354
0	0	3.823799996	1.160718594	-0.234188354	0
0	0	1.160718594	2.741266486	-0.105058912	0
0	0	-0.234188354	-0.105058912	0.225734074	0
-1.160718594	0.234188354	0	0	0	2.96700056
					
0.66666666					
1278275.54	71060.22738	0	0	0	84182.23826
71060.22739	7083736.494	0	0	0	726407.9072
0	0	114771123.7	7567716.673	-9110825.609	0
0	0	7567716.673	24295688.67	-767158.9843	0
0	0	-9110825.609	-767158.9843	8673478.746	0
84182.23826	726407.9072	0	0	0	1216256.44
					
3.04987406	0	0	0	0	-0.564725298
0	3.04987406	0	0	0	0.222387952
0	0	3.04987406	0.564725298	-0.222387952	0
0	0	0.564725298	1.76975867	-0.053222406	0
0	0	-0.222387952	-0.053222406	0.165218593	0
-0.564725298	0.222387952	0	0	0	1.934977263
					
0.68292682					
1178878.861	40756.30364	0	0	0	65198.00026
40756.30365	6864457.548	0	0	0	747603.1679
0	0	108480173	7235277.571	-9294113.561	0
0	0	7235277.571	22698919.99	-671892.0325	0
0	0	-9294113.561	-671892.0325	7356852.548	0
65198.00026	747603.1679	0	0	0	1068681.146
					
2.932118757	0	0	0	0	-0.544918421
0	2.932118757	0	0	0	0.227735145
0	0	2.932118757	0.544918421	-0.227735145	0
0	0	0.544918421	1.6600498	-0.046801017	0
0	0	-0.227735145	-0.046801017	0.142899654	0
-0.544918421	0.227735145	0	0	0	1.802949453
					
0.7					
1141604.735	12181.91922	0	0	0	53928.48417
12181.91922	6488418.742	0	0	0	736403.6215
0	0	97897196.43	5946579.097	-8928785.656	0
0	0	5946579.097	19252888.4	-493775.9025	0
0	0	-8928785.656	-493775.9025	6153106.459	0
53928.48417	736403.6215	0	0	0	914195.1415
					
2.765293973	0	0	0	0	-0.504705715
0	2.765293973	0	0	0	0.228197709
0	0	2.765293973	0.504705715	-0.228197709	0
0	0	0.504705715	1.456291081	-0.039060315	0
0	0	-0.228197709	-0.039060315	0.125942284	0
-0.504705715	0.228197709	0	0	0	1.582233365
					
0.731707317					
1075826.068	-15132.6003	0	0	0	59720.93458
-15132.60039	5937468.511	0	0	0	687136.6072
0	0	83557702.86	5587301.118	-7237915.377	0
0	0	5587301.118	17323019.83	-424500.6314	0
0	0	-7237915.377	-424500.6314	4815112.175	0
59720.93458	687136.6072	0	0	0	788357.7274
					
2.536261617	0	0	0	0	-0.46335764
0	2.536261617	0	0	0	0.196694243
0	0	2.536261617	0.46335764	-0.196694243	0
0	0	0.46335764	1.324793779	-0.034002364	0
0	0	-0.196694243	-0.034002364	0.103681441	0
-0.46335764	0.196694243	0	0	0	1.42847522
					
0.76666666					
1029724.207	24978.55531	0	0	0	59428.49488
24978.55529	5709303.285	0	0	0	587539.8892
0	0	73262759.63	3721933.773	-6114545.066	0
0	0	3721933.774	12651071.55	-326008.955	0
0	0	-6114545.067	-326008.9551	3874779.395	0
59428.49487	587539.8892	0	0	0	661071.3839
					
2.291115292	0	0	0	0	-0.331378568
0	2.291115292	0	0	0	0.174169295
0	0	2.291115292	0.331378568	-0.174169295	0
0	0	0.331378568	0.984352228	-0.026940387	0
0	0	-0.174169295	-0.026940387	0.087056795	0
-0.331378568	0.174169295	0	0	0	1.071409023
					
0.833333333					
926080.7899	21908.76273	0	0	0	50942.14228
21908.76272	4761866.519	0	0	0	448526.4281
0	0	52484151.41	3073245.336	-3934864.842	0
0	0	3073245.336	9244615.986	-239480.2121	0
0	0	-3934864.841	-239480.2122	2249090.686	0
50942.14228	448526.4281	0	0	0	470129.6938
					
1.924683765	0	0	0	0	-0.27420551
0	1.924683765	0	0	0	0.131597984
0	0	1.924683765	0.27420551	-0.131597984	0
0	0	0.27420551	0.739276918	-0.020212908	0
0	0	-0.131597984	-0.020212908	0.05807507	0
-0.27420551	0.131597984	0	0	0	0.797351989
					
0.888943309					
761836.3125	18473.5093	0	0	0	40698.31247
18473.5093	4636697.631	0	0	0	393741.322
0	0	47968366.43	2593982.072	-3277749.1	0
0	0	2593982.073	7914110.488	-200499.0684	0
0	0	-3277749.1	-200499.0685	1703127.187	0
40698.31248	393741.322	0	0	0	407481.6199
					
1.704144927	0	0	0	0	-0.22803543
0	1.704144927	0	0	0	0.105711457
0	0	1.704144927	0.22803543	-0.105711457	0
0	0	0.22803543	0.587767922	-0.015739654	0
0	0	-0.105711457	-0.015739654	0.042478221	0
-0.22803543	0.105711457	0	0	0	0.630246143
					
0.933333333					
661498.5018	15612.84544	0	0	0	32251.78249
15612.84544	3645708.741	0	0	0	282964.1207
0	0	32349366.69	2089404.848	-1950811.739	0
0	0	2089404.848	5432818.365	-138776.8174	0
0	0	-1950811.738	-138776.8175	889001.9999	0
32251.78248	282964.1207	0	0	0	265751.8527
					
1.413714207	0	0	0	0	-0.184729311
0	1.413714207	0	0	0	0.077948317
0	0	1.413714207	0.184729311	-0.077948317	0
0	0	0.184729311	0.425911511	-0.011404452	0
0	0	-0.077948317	-0.011404452	0.027126696	0
-0.184729311	0.077948317	0	0	0	0.453038207
					
0.977723577					
395685.7841	6461.718092	0	0	0	14279.25032
6461.718092	2246391.957	0	0	0	119413.5944
0	0	15742173	1033427.269	-612607.1371	0
0	0	1033427.269	1811549.595	-44105.44657	0
0	0	-612607.1371	-44105.44656	175347.0675	0
14279.25032	119413.5944	0	0	0	82182.10864
					
0.795660297	0	0	0	0	-0.066155347
0	0.795660297	0	0	0	0.029306248
0	0	0.795660297	0.066155347	-0.029306248	0
0	0	0.066155347	0.119108419	-0.002760435	0
0	0	-0.029306248	-0.002760435	0.006995102	0
-0.066155347	0.029306248	0	0	0	0.126103521
					
1					
306406.7437	794.2684061	0	0	0	9841.01155
794.2684052	1445682.982	0	0	0	59548.00164
0	0	7205191.343	584773.2797	-196321.9145	0
0	0	584773.2797	726411.7196	-17451.88242	0
0	0	-196321.9146	-17451.88243	36435.63816	0
9841.01155	59548.00164	0	0	0	30317.47012
					
0.548554394	0	0	0	0	-0.038052326
0	0.548554394	0	0	0	0.015162319
0	0	0.548554394	0.038052326	-0.015162319	0
0	0	0.038052326	0.051801992	-0.001193976	0
0	0	-0.015162319	-0.001193976	0.002630558	0
-0.038052326	0.015162319	0	0	0	0.05443255
