-1.1802775000e+06,-8.8905837500e+05,-8.6192825000e+05,-8.4889762500e+05,-6.1626450000e+05,-9.5148566667e+05,-1.0395530000e+06,-2.9398800000e+05,-7.0334500000e+04,-1.6767650000e+05,2.1284000000e+05,1.4787825000e+06,3.6371072500e+06,4.9788385000e+06
-1.2382153750e+06,-9.6759856250e+05,-7.9741237500e+05,-7.5620350000e+05,-6.2650125000e+05,-9.5949300000e+05,-1.1788460000e+06,-4.7273600000e+05,-1.7744650000e+05,-2.8343950000e+05,-2.9295400000e+05,4.0345900000e+05,1.9821780000e+06,2.9728980000e+06
-1.3196241250e+06,-1.1066355625e+06,-7.1595862500e+05,-6.1581662500e+05,-6.5701800000e+05,-9.1972166667e+05,-1.2472685000e+06,-6.7385350000e+05,-3.1070350000e+05,-3.7078750000e+05,-3.8397700000e+05,-2.4326650000e+05,5.6974550000e+05,1.3492270000e+06
-1.4560988750e+06,-1.2007240625e+06,-6.6468037500e+05,-4.9823575000e+05,-6.5533300000e+05,-9.0253633333e+05,-1.2351940000e+06,-8.5161750000e+05,-4.6409300000e+05,-4.1113850000e+05,-5.8795600000e+05,-4.3499750000e+05,-9.8669500000e+04,-6.5121000000e+04
-1.5797788750e+06,-1.2274611875e+06,-6.1591775000e+05,-4.5984050000e+05,-6.4520250000e+05,-8.6748900000e+05,-1.2201690000e+06,-1.0023910000e+06,-6.2046000000e+05,-4.8473000000e+05,-5.9393450000e+05,-7.1241150000e+05,-3.5566650000e+05,-3.3760000000e+04
-1.5906997500e+06,-1.0653447500e+06,-5.8229425000e+05,-6.1179062500e+05,-6.0842525000e+05,-7.9760366667e+05,-1.2507875000e+06,-1.0925000000e+06,-7.5612650000e+05,-6.1742400000e+05,-5.9091150000e+05,-8.4495800000e+05,-6.8753200000e+05,-3.0387600000e+05
-6.2527100000e+05,-6.3694387500e+05,-9.4377137500e+05,-9.1007125000e+05,-7.2826350000e+05,-8.6387400000e+05,-1.1405510000e+06,-1.0953405000e+06,-7.4212100000e+05,-8.8694950000e+05,-9.3140900000e+05,-7.3310650000e+05,-7.5251000000e+05,-8.6138800000e+05
-8.0856525000e+05,-3.6595150000e+05,-6.6615037500e+05,-9.8406075000e+05,-7.3711900000e+05,-8.2904533333e+05,-9.7224150000e+05,-1.1875355000e+06,-9.6670650000e+05,-9.5107300000e+05,-1.0083065000e+06,-9.2617250000e+05,-7.5040200000e+05,-6.0877400000e+05
-5.8716225000e+05,-1.9847087500e+05,-5.2192925000e+05,-8.6652175000e+05,-6.8458925000e+05,-9.4673366667e+05,-8.3528400000e+05,-8.9980250000e+05,-1.2017650000e+06,-1.1335820000e+06,-1.0441310000e+06,-9.7727600000e+05,-8.7701000000e+05,-7.9528600000e+05
5.4597475000e+05,-6.3656500000e+04,-7.9014325000e+05,-6.7668287500e+05,-5.9412400000e+05,-9.0760400000e+05,-1.0048950000e+06,-7.8586800000e+05,-1.0222550000e+06,-1.2431430000e+06,-1.2125450000e+06,-1.0372670000e+06,-1.0324080000e+06,-1.1726000000e+06
-6.2527100000e+05,-6.3694387500e+05,-9.4377137500e+05,-9.1007125000e+05,-7.2826350000e+05,-8.6387400000e+05,-1.1405510000e+06,-1.0953405000e+06,-7.4212100000e+05,-8.8694950000e+05,-9.3140900000e+05,-7.3310650000e+05,-7.5251000000e+05,-8.6138800000e+05
